date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:52	93/93	---M--	404	error ('Not%20Found')	text/html	etag:%225d-5acfc6dc03d59%22	https://marpel.net/robots.txt		(from )
17:23:56	5223/5223	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:23:56%20GMT	https://marpel.net/	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/index.html	(from )
17:23:57	277541/277541	---M--	200	added ('OK')	image/png	etag:%225f7807f8-43c25%22	https://marpel.net/resimler/marpel.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/marpel.png	(from https://marpel.net/)
17:23:57	170570/170570	---M-Z	200	added ('OK')	text/css	etag:%2281b2e00ad71a15f478a9def1e55ca743%22	https://pro.fontawesome.com/releases/v5.12.0/css/all.css	C:/Users/Cihan/Desktop/dsadsadsa/pro.fontawesome.com/releases/v5.12.0/css/all.css	(from https://marpel.net/)
17:23:58	34942/34942	---M-Z	200	added ('OK')	text/css	etag:W/%22887e-Pld4fTaChORP94Ab3NgjCNE6cYA%22	https://cdn.jsdelivr.net/npm/fork-awesome@1.1.7/css/fork-awesome.min.css	C:/Users/Cihan/Desktop/dsadsadsa/cdn.jsdelivr.net/npm/fork-awesome@1.1.7/css/fork-awesome.min.css	(from https://marpel.net/)
17:23:58	9952/9952	---M--	200	added ('OK')	text/css	etag:%225fca7e7c-26e0%22	https://marpel.net/css/style.css	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/css/style.css	(from https://marpel.net/)
17:23:58	6495/6495	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:23:58%20GMT	https://marpel.net/tanitimlar	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitimlar.html	(from https://marpel.net/)
17:24:00	277541/277541	---M--	200	added ('OK')	image/png	etag:%225f780802-43c25%22	https://marpel.net/marpel.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/marpel.png	(from https://marpel.net/)
17:24:00	7113/7113	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:23:59%20GMT	https://marpel.net/komutlar.php	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/komutlar.html	(from https://marpel.net/)
17:24:00	36305/36305	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:00%20GMT	https://marpel.net/embed	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/embed.html	(from https://marpel.net/)
17:24:01	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211abc-z42YIVUtUbtQzlcuaWq6EwkGWAA%22	https://cdn.jsdelivr.net/npm/jquery@3.5.1/dist/jquery.slim.min.js	C:/Users/Cihan/Desktop/dsadsadsa/cdn.jsdelivr.net/npm/jquery@3.5.1/dist/jquery.slim.min.js	(from https://marpel.net/)
17:24:01	3346/3346	---M--	200	added ('OK')	text/css	etag:%225fd2ae13-d12%22	https://marpel.net/css/komutlar.css	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/css/komutlar.css	(from https://marpel.net/tanitimlar)
17:24:01	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Jan%202021%2014:24:01%20GMT	http://marpel.net/tanitim/cekilis	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/cekilis.a.delayed	(from https://marpel.net/tanitimlar)
17:24:02	506/506	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:01%20GMT	https://marpel.net/tanitim/cekilis	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/cekilis.html	(from https://marpel.net/tanitimlar)
17:24:02	11641/11641	---M--	200	added ('OK')	image/png	etag:%225ef0337d-2d79%22	https://marpel.net/resimler/ikon1.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/ikon1.png	(from https://marpel.net/tanitimlar)
17:24:02	5798/5798	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:02%20GMT	https://marpel.net/tanitim/istatistik	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/istatistik.html	(from https://marpel.net/tanitimlar)
17:24:02	6407/6407	---M--	200	added ('OK')	image/png	etag:%225ef0337a-1907%22	https://marpel.net/resimler/ikon2.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/ikon2.png	(from https://marpel.net/tanitimlar)
17:24:02	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Jan%202021%2014:24:02%20GMT	http://marpel.net/tanitim/rank	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/rank	(from https://marpel.net/tanitimlar)
17:24:03	608/608	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:03%20GMT	https://marpel.net/tanitim/rank	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/rank.html	(from https://marpel.net/tanitimlar)
17:24:03	8107/8107	---M--	200	added ('OK')	image/png	etag:%225ef0337b-1fab%22	https://marpel.net/resimler/ikon4.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/ikon4.png	(from https://marpel.net/tanitimlar)
17:24:03	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Jan%202021%2014:24:03%20GMT	http://marpel.net/tanitim/davet	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/davet	(from https://marpel.net/tanitimlar)
17:24:03	501/501	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:03%20GMT	https://marpel.net/tanitim/davet	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/davet.html	(from https://marpel.net/tanitimlar)
17:24:04	6522/6522	---M--	200	added ('OK')	image/png	etag:%225ef0337b-197a%22	https://marpel.net/resimler/ikon6.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/ikon6.png	(from https://marpel.net/tanitimlar)
17:24:04	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Jan%202021%2014:24:04%20GMT	http://marpel.net/tanitim/tepkirol	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/tepkirol	(from https://marpel.net/tanitimlar)
17:24:04	510/510	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:04%20GMT	https://marpel.net/tanitim/tepkirol	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/tepkirol.html	(from https://marpel.net/tanitimlar)
17:24:04	7397/7397	---M--	200	added ('OK')	image/png	etag:%225f5937f6-1ce5%22	https://marpel.net/resimler/ikon7.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/ikon7.png	(from https://marpel.net/tanitimlar)
17:24:19	50784/50784	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:18%20GMT	https://marpel.net/komutlar/komutlar.php	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/komutlar/komutlar.html	(from https://marpel.net/komutlar.php)
17:24:19	6489/6489	---M--	200	added ('OK')	image/png	etag:%225fcbcd58-1959%22	https://marpel.net/resimler/komutlar.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/komutlar.png	(from https://marpel.net/komutlar.php)
17:24:21	21605/21605	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:21%20GMT	https://marpel.net/komutlar/moderasyon.php	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/komutlar/moderasyon.html	(from https://marpel.net/komutlar.php)
17:24:22	2895/2895	---M--	200	added ('OK')	image/png	etag:%225f075430-b4f%22	https://marpel.net/resimler/moderasyon.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/moderasyon.png	(from https://marpel.net/komutlar.php)
17:24:28	19350/19350	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:27%20GMT	https://marpel.net/komutlar/extra.php	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/komutlar/extra.html	(from https://marpel.net/komutlar.php)
17:24:28	2840/2840	---M--	200	added ('OK')	image/png	etag:%225f07548e-b18%22	https://marpel.net/resimler/extra.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/extra.png	(from https://marpel.net/komutlar.php)
17:24:29	12300/12300	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:28%20GMT	https://marpel.net/komutlar/rank.php	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/komutlar/rank.html	(from https://marpel.net/komutlar.php)
17:24:29	5168/5168	---M--	200	added ('OK')	image/png	etag:%225f0754d1-1430%22	https://marpel.net/resimler/rank.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/rank.png	(from https://marpel.net/komutlar.php)
17:24:29	13962/13962	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:29%20GMT	https://marpel.net/komutlar/eglence.php	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/komutlar/eglence.html	(from https://marpel.net/komutlar.php)
17:24:29	4122/4122	---M--	200	added ('OK')	image/png	etag:%225f0754d9-101a%22	https://marpel.net/resimler/eglence.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/eglence.png	(from https://marpel.net/komutlar.php)
17:24:30	93/93	---M--	404	error ('Not%20Found')	text/html	etag:%225d-5acfc6dc03d59%22	https://marpel.net/marpel.net/embed	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/marpel.net/embed	(from https://marpel.net/embed)
17:24:31	229543/229543	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Jan%202020%2013:43:11%20GMT	http://yagami.xyz/content/cache/wpfc-minified/lnvmk1nw/e4nk5.css	C:/Users/Cihan/Desktop/dsadsadsa/yagami.xyz/content/cache/wpfc-minified/lnvmk1nw/e4nk5.css	(from https://marpel.net/embed)
17:24:31	9383/9383	---M-Z	200	added ('OK')	text/css	date:Sat,%2016%20Jan%202021%2011:26:59%20GMT	https://yagami.xyz/content/uploads/elementor/css/post-11837.css?ver=1578175822	C:/Users/Cihan/Desktop/dsadsadsa/yagami.xyz/content/uploads/elementor/css/post-11837f062.css	(from https://marpel.net/embed)
17:24:31	93/93	---M--	404	error ('Not%20Found')	text/html	etag:%225d-5acfc6dc03d59%22	https://marpel.net/alert/dist/sweetalert.css	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/alert/dist/sweetalert.css	(from https://marpel.net/embed)
17:24:33	280364/280364	---M-Z	200	added ('OK')	application/javascript	etag:W/%225cca0c33-4472c%22	https://code.jquery.com/jquery-3.4.1.js	C:/Users/Cihan/Desktop/dsadsadsa/code.jquery.com/jquery-3.4.1.js	(from https://marpel.net/embed)
17:24:33	93/93	---M--	404	error ('Not%20Found')	text/html	etag:%225d-5acfc6dc03d59%22	https://marpel.net/alert/dist/sweetalert-dev.js	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/alert/dist/sweetalert-dev.js	(from https://marpel.net/embed)
17:24:33	4087/4087	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2025%20Feb%202020%2018:38:39%20GMT	https://static.codepen.io/assets/common/stopExecutionOnTimeout-157cd5b220a5c80d4ff8e0e70ac069bffd87a61252088146915e8726e5d9f147.js	C:/Users/Cihan/Desktop/dsadsadsa/static.codepen.io/assets/common/stopExecutionOnTimeout-157cd5b220a5c80d4ff8e0e70ac069bffd87a61252088146915e8726e5d9f147.js	(from https://marpel.net/embed)
17:24:34	86351/86351	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1514f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/Users/Cihan/Desktop/dsadsadsa/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from https://marpel.net/embed)
17:24:35	24989/24989	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffc-619d%22	https://cdnjs.cloudflare.com/ajax/libs/tether/1.4.0/js/tether.min.js	C:/Users/Cihan/Desktop/dsadsadsa/cdnjs.cloudflare.com/ajax/libs/tether/1.4.0/js/tether.min.js	(from https://marpel.net/embed)
17:24:35	46653/46653	---M-Z	200	added ('OK')	text/javascript	etag:%221544639632%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/js/bootstrap.min.js	C:/Users/Cihan/Desktop/dsadsadsa/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/js/bootstrap.min.js	(from https://marpel.net/embed)
17:24:36	44793/44793	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e7a-aef9%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.9.0/highlight.min.js	C:/Users/Cihan/Desktop/dsadsadsa/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.9.0/highlight.min.js	(from https://marpel.net/embed)
17:24:36	18443/18443	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202021%2014:24:36%20GMT	https://cdn.rawgit.com/google/code-prettify/master/loader/run_prettify.js?skin=sons-of-obsidian	C:/Users/Cihan/Desktop/dsadsadsa/cdn.rawgit.com/google/code-prettify/master/loader/run_prettify83b9.js	(from https://marpel.net/embed)
17:24:36	240/240	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:36%20GMT	https://marpel.net/ajax.php	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/ajax.html	(from https://marpel.net/embed)
17:24:37	130921/130921	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225ec15674-1ff69%22	https://marpel.net/resimler/%c3%a7ekili%c5%9f.ico	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/%c3%a7ekili%c5%9f.ico	(from https://marpel.net/tanitim/cekilis)
17:24:37	93/93	---M--	404	error ('Not%20Found')	text/html	etag:%225d-5acfc6dc03d59%22	https://marpel.net/tanitim/css/style.css	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/css/style.css	(from https://marpel.net/tanitim/istatistik)
17:24:37	8675/8675	---M--	200	added ('OK')	image/png	etag:%225ec15659-21e3%22	https://marpel.net/resimler/istatistik.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/istatistik.png	(from https://marpel.net/tanitim/istatistik)
17:24:37	727724/727724	---M--	200	added ('OK')	image/png	etag:%225ecd5bfa-b1aac%22	https://marpel.net/resimler/abc.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/abc.png	(from https://marpel.net/tanitim/cekilis)
17:24:38	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Jan%202021%2014:24:37%20GMT	http://marpel.net/tanitim/istatistikyoutube	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/istatistikyoutube.33.delayed	(from https://marpel.net/tanitim/istatistik)
17:24:39	8633/8633	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:38%20GMT	https://marpel.net/tanitim/istatistikyoutube	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/istatistikyoutube.html	(from https://marpel.net/tanitim/istatistik)
17:24:39	33653/33653	---M--	200	added ('OK')	image/png	etag:%225ec15671-8375%22	https://marpel.net/resimler/youtube.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/youtube.png	(from https://marpel.net/tanitim/istatistik)
17:24:39	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Jan%202021%2014:24:39%20GMT	http://marpel.net/tanitim/istatistikminecraft	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/istatistikminecraft	(from https://marpel.net/tanitim/istatistik)
17:24:39	6881/6881	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:39%20GMT	https://marpel.net/tanitim/istatistikminecraft	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/istatistikminecraft.html	(from https://marpel.net/tanitim/istatistik)
17:24:41	65138/65138	---M--	200	added ('OK')	image/png	etag:%225ec15660-fe72%22	https://marpel.net/resimler/minecraft.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/minecraft.png	(from https://marpel.net/tanitim/istatistik)
17:24:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Jan%202021%2014:24:40%20GMT	http://marpel.net/tanitim/istatistikdiscord	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/istatistikdiscord	(from https://marpel.net/tanitim/istatistik)
17:24:42	9211/9211	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2014:24:41%20GMT	https://marpel.net/tanitim/istatistikdiscord	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/tanitim/istatistikdiscord.html	(from https://marpel.net/tanitim/istatistik)
17:24:42	1559/1559	---M--	200	added ('OK')	image/png	etag:%225ec15659-617%22	https://marpel.net/resimler/discord.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/discord.png	(from https://marpel.net/tanitim/istatistik)
17:24:44	10207/10207	---M--	200	added ('OK')	image/png	etag:%225ee77fab-27df%22	https://marpel.net/resimler/davetikoncuk.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/davetikoncuk.png	(from https://marpel.net/tanitim/davet)
17:24:45	2066312/2066312	---M--	200	added ('OK')	image/png	etag:%225ef6079e-1f8788%22	https://marpel.net/resimler/ranktanitim.png	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/resimler/ranktanitim.png	(from https://marpel.net/tanitim/rank)
17:24:46	93/93	---M--	404	error ('Not%20Found')	text/html	etag:%225d-5acfc6dc03d59%22	https://marpel.net/komutlar/css/style.css	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/komutlar/css/style.css	(from https://marpel.net/komutlar/komutlar.php)
17:24:47	526/526	---M--	200	added ('OK')	application/javascript	etag:%2220e-5aa282ce825b3%22	https://marpel.net/util/komutlar.js	C:/Users/Cihan/Desktop/dsadsadsa/marpel.net/util/komutlar.js	(from https://marpel.net/komutlar/komutlar.php)
